timestamp,open,high,low,close,volume
2022-01-19,306.2900,313.9093,302.7000,303.3300,45485618
2022-01-18,304.0700,309.8000,301.7400,302.6500,41717982
2022-01-14,304.2500,310.8200,303.7500,310.2000,39846414
2022-01-13,320.4658,320.8800,304.0000,304.8000,45365979
2022-01-12,319.6700,323.4100,317.0800,318.2700,34372217
2022-01-11,313.3800,316.6100,309.8900,314.9800,29267314
2022-01-10,309.4850,314.7200,304.6900,314.2700,44289467
2022-01-07,314.1500,316.5000,310.0900,314.0400,32720018
2022-01-06,313.1500,318.7000,311.4900,313.8800,39646148
2022-01-05,325.8600,326.0700,315.9800,316.3800,40054327
2022-01-04,334.8300,335.2000,326.1200,329.0100,32674306
2022-01-03,335.3500,338.0000,329.7800,334.7500,28918013
2021-12-31,338.5100,339.3550,335.8500,336.3200,17772880
2021-12-30,341.9100,343.1300,338.8200,339.3200,15994471
2021-12-29,341.3000,344.3000,339.6800,341.9500,15041956
2021-12-28,343.1500,343.8100,340.3200,341.2500,15661467
2021-12-27,335.4600,342.4800,335.4300,342.4500,19947029
2021-12-23,332.7500,336.3900,332.7300,334.6900,19617848
2021-12-22,328.3000,333.6050,325.7500,333.2000,24831493
2021-12-21,323.2900,327.7300,319.8000,327.2900,24740597
2021-12-20,320.0500,322.8000,317.5700,319.9100,28326532
2021-12-17,320.8800,324.9200,317.2500,323.8000,47983713
2021-12-16,335.7100,336.7600,323.0200,324.9000,35034831
2021-12-15,328.6100,335.1900,324.5000,334.6500,35381122
2021-12-14,333.2200,334.6400,324.1100,328.3400,44438699
2021-12-13,340.6800,343.7900,339.0800,339.4000,28899431
2021-12-10,334.9800,343.0000,334.7900,342.5400,38095694
2021-12-09,334.4100,336.4890,332.1200,333.1000,22214158
2021-12-08,335.3100,335.5000,330.8000,334.9700,24760988
2021-12-07,331.6400,335.8000,330.1000,334.9200,31021936
2021-12-06,323.9500,327.4500,319.2300,326.1900,30032556
2021-12-03,331.9900,332.7000,318.0300,323.0100,41779279
2021-12-02,330.3000,333.4900,327.8028,329.4900,30765980
2021-12-01,335.1300,339.2800,329.3900,330.0800,33401146
2021-11-30,335.3200,337.7800,328.9900,330.5900,42885609
